DATE	cout	rout
UNITS	m3/s	m3/s
1980-01-01	0.027	-9999
1980-01-02	0.248	-9999
1980-01-03	0.696	-9999
1980-01-04	1.137	-9999
1980-01-05	2.901	-9999
1980-01-06	5.106	-9999
1980-01-07	6.778	-9999
1980-01-08	7.728	-9999
1980-01-09	8.245	-9999
1980-01-10	9.252	-9999
1980-01-11	10.123	-9999
1980-01-12	10.456	-9999
1980-01-13	10.438	-9999
1980-01-14	10.131	-9999
1980-01-15	9.592	-9999
1980-01-16	8.886	-9999
1980-01-17	8.093	-9999
1980-01-18	7.276	-9999
1980-01-19	6.48	-9999
1980-01-20	5.734	-9999
1980-01-21	5.066	-9999
1980-01-22	4.474	-9999
1980-01-23	4.157	-9999
1980-01-24	4.095	-9999
1980-01-25	4.352	-9999
1980-01-26	4.9	-9999
1980-01-27	5.596	-9999
1980-01-28	6.183	-9999
1980-01-29	6.454	-9999
1980-01-30	6.353	-9999
1980-01-31	5.945	-9999
1980-02-01	5.426	-9999
1980-02-02	4.849	-9999
1980-02-03	4.257	-9999
1980-02-04	3.711	-9999
1980-02-05	3.237	-9999
1980-02-06	2.838	-9999
1980-02-07	2.509	-9999
1980-02-08	2.235	-9999
1980-02-09	2.004	-9999
1980-02-10	1.803	-9999
1980-02-11	1.628	-9999
1980-02-12	1.495	-9999
1980-02-13	1.414	-9999
1980-02-14	1.372	-9999
1980-02-15	1.34	-9999
1980-02-16	1.303	-9999
1980-02-17	1.261	-9999
1980-02-18	1.527	-9999
1980-02-19	1.907	-9999
1980-02-20	3.106	-9999
1980-02-21	4.345	-9999
1980-02-22	5.116	-9999
1980-02-23	5.407	-9999
1980-02-24	5.369	-9999
1980-02-25	5.14	-9999
1980-02-26	4.805	-9999
1980-02-27	4.486	-9999
1980-02-28	4.119	-9999
1980-02-29	3.731	-9999
1980-03-01	3.354	0
1980-03-02	3.075	0
1980-03-03	3.286	0
1980-03-04	3.774	0
1980-03-05	4.17	0
1980-03-06	4.357	0
1980-03-07	4.365	0
1980-03-08	4.247	0
1980-03-09	4.056	0
1980-03-10	3.823	0
1980-03-11	3.562	0.058
1980-03-12	3.286	0.059
1980-03-13	3.013	0.059
1980-03-14	3.131	0.059
1980-03-15	3.699	0.062
1980-03-16	4.183	0.069
1980-03-17	4.384	0.069
1980-03-18	4.347	0.094
1980-03-19	4.496	0.187
1980-03-20	4.492	0.234
1980-03-21	4.428	1.992
1980-03-22	4.28	1.992
1980-03-23	4.041	4.42
1980-03-24	3.725	9.152
1980-03-25	3.416	8.966
1980-03-26	3.15	5.043
1980-03-27	2.889	3.86
1980-03-28	2.622	4.483
1980-03-29	2.436	6.849
1980-03-30	2.926	10.584
1980-03-31	4.194	19.301
1980-04-01	5.282	14.687
1980-04-02	6.179	13.62
1980-04-03	6.56	14.735
1980-04-04	6.534	11.003
1980-04-05	6.165	6.253
1980-04-06	6.538	7.513
1980-04-07	6.529	9.549
1980-04-08	6.2	11.73
1980-04-09	7.16	11.391
1980-04-10	8.156	6.059
1980-04-11	8.81	20.922
1980-04-12	11.078	16.681
1980-04-13	30.585	12.44
1980-04-14	66.975	9.33
1980-04-15	88.985	6.22
1980-04-16	82.97	4.524
1980-04-17	65.108	3.958
1980-04-18	47.998	3.958
1980-04-19	35.487	4.806
1980-04-20	25.811	3.675
1980-04-21	19.201	2.049
1980-04-22	14.568	1.675
1980-04-23	11.098	1.278
1980-04-24	7.684	5.068
1980-04-25	5.765	4.628
1980-04-26	3.983	3.967
1980-04-27	3.276	3.085
1980-04-28	2.821	2.644
1980-04-29	2.401	2.204
1980-04-30	1.842	1.851
1980-05-01	2.267	0.485
1980-05-02	1.779	0.62
1980-05-03	1.986	0.539
1980-05-04	2.133	0.485
1980-05-05	2.114	1.105
1980-05-06	1.805	1.321
1980-05-07	2.308	1.24
1980-05-08	2.333	1.375
1980-05-09	2.403	1.725
1980-05-10	2.473	2.157
1980-05-11	2.009	1.096
1980-05-12	2.137	1.166
1980-05-13	2.122	1.124
1980-05-14	2.139	1.208
1980-05-15	1.701	1.138
1980-05-16	2.094	1.138
1980-05-17	2.068	1.18
1980-05-18	2.337	1.11
1980-05-19	1.597	1.194
1980-05-20	1.57	1.208
